"tax_year","pin","min_bldg_sf","max_bldg_sf","bldg_sf_ratio","num_sharing_pin"
"2019","17283100140000",714,1104,1.5462,2
"2019","14062160120000",1384,2146,1.5506,2
"2019","05344130030000",916,1422,1.5524,2
"2019","18334080060000",816,1268,1.5539,2
"2019","26321110430000",500,777,1.554,2
"2019","15124220110000",1251,1944,1.554,2
"2019","32062020190000",1333,2072,1.5544,2
"2019","28122240330000",746,1160,1.555,2
"2019","18274030020000",672,1045,1.5551,2
"2019","16054140190000",1057,1644,1.5553,2
"2019","25103230130000",437,680,1.5561,2
"2019","20074220270000",987,1536,1.5562,2
"2019","13081220130000",1126,1756,1.5595,2
"2019","14292200040000",1180,1841,1.5602,2
"2019","24362080070000",1092,1704,1.5604,2
"2019","19182110430000",648,1014,1.5648,2
"2019","30083270070000",760,1190,1.5658,2
"2019","33183040020000",1560,2447,1.5686,2
"2019","29074180320000",762,1196,1.5696,2
"2019","29083150430000",448,704,1.5714,2
"2019","29201030210000",450,708,1.5733,2
"2019","15132070220000",884,1391,1.5735,2
"2019","32213200270000",630,992,1.5746,2
"2019","16161210020000",1248,1968,1.5769,2
"2019","17311190250000",830,1310,1.5783,2
"2019","19293140140000",551,870,1.5789,2
"2019","19293140130000",551,870,1.5789,2
"2019","10121080060000",1155,1824,1.5792,2
"2019","01021000390000",1036,1636,1.5792,2
"2019","24241080180000",561,886,1.5793,2
"2019","25023170230000",936,1479,1.5801,2
"2019","25212050360000",931,1473,1.5822,2
"2019","14313020350000",1172,1855,1.5828,2
"2019","21314070330000",965,1531,1.5865,2
"2019","25312010080000",638,1013,1.5878,2
"2019","26323000160000",554,880,1.5884,2
"2019","21314270390000",660,1050,1.5909,2
"2019","30083160210000",528,840,1.5909,2
"2019","18251010090000",959,1528,1.5933,2
"2019","19314020260000",714,1140,1.5966,2
"2019","28122070590000",662,1057,1.5967,2
